id,name,email,type,is_franchise_dealer
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370467.0,FIAT de San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370467.0,FIAT de San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370467.0,FIAT de San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
62178.0,Eastchester Chrysler Jeep Dodge Ram,xxx@xxx.com,dealer,True
389227.0,Land Rover San Juan,xxx@xxx.com,dealer,True
370599.0,Flagship Chrysler,xxx@xxx.com,dealer,True
314501.0,Atlantic Chevrolet Cadillac,xxx@xxx.com,dealer,True
